filename,rouge_1_recall,rouge_1_precision,rouge_1_f_score,rouge_2_recall,rouge_2_precision,rouge_2_f_score,rouge_l_recall,rouge_l_precision,rouge_l_f_score
langchain-openai_10023032.txt.json,0.4188,0.71014,0.52688,0.19313,0.32847,0.24324,0.26068,0.44203,0.32795
langchain-openai_10666450.txt.json,0.39013,0.67969,0.49572,0.12613,0.22047,0.16046,0.21973,0.38281,0.2792
langchain-openai_11250870.txt.json,0.20849,0.55102,0.30252,0.04264,0.1134,0.06198,0.15058,0.39796,0.21849
langchain-openai_11600250.txt.json,0.64045,0.46341,0.53773,0.35227,0.2541,0.29524,0.34831,0.25203,0.29245
langchain-openai_12202526.txt.json,0.28889,0.4715,0.35827,0.09554,0.15625,0.11858,0.20952,0.34197,0.25984
langchain-openai_12791683.txt.json,0.38889,0.672,0.49267,0.10698,0.18548,0.13569,0.18981,0.328,0.24047
langchain-openai_12920324.txt.json,0.31481,0.69388,0.43312,0.12558,0.27835,0.17308,0.17593,0.38776,0.24204
langchain-openai_14668458.txt.json,0.45946,0.35915,0.40316,0.17273,0.13475,0.15139,0.34234,0.26761,0.3004
langchain-openai_15070725.txt.json,0.61905,0.56522,0.59091,0.18563,0.1694,0.17714,0.27976,0.25543,0.26704
langchain-openai_15314218.txt.json,0.53555,0.55941,0.54722,0.20952,0.21891,0.21411,0.25592,0.26733,0.2615
langchain-openai_17329672.txt.json,0.44076,0.64583,0.52394,0.13333,0.1958,0.15864,0.25118,0.36806,0.29859
langchain-openai_17360565.txt.json,0.43689,0.64286,0.52023,0.16585,0.2446,0.19767,0.25243,0.37143,0.30058
langchain-openai_17634151.txt.json,0.33488,0.59504,0.42857,0.10748,0.19167,0.13773,0.26512,0.47107,0.33929
langchain-openai_17898283.txt.json,0.28435,0.57419,0.38035,0.11859,0.24026,0.1588,0.23323,0.47097,0.31197
langchain-openai_18177893.txt.json,0.37398,0.52874,0.43809,0.13878,0.19653,0.16268,0.22358,0.31609,0.26191
langchain-openai_18832739.txt.json,0.51779,0.62085,0.56466,0.20238,0.24286,0.22078,0.26877,0.32227,0.2931
langchain-openai_19538912.txt.json,0.47449,0.55689,0.5124,0.1641,0.19277,0.17728,0.32143,0.37725,0.34711
langchain-openai_19682250.txt.json,0.44865,0.47701,0.4624,0.1413,0.15029,0.14566,0.19459,0.2069,0.20056
langchain-openai_19716270.txt.json,0.33922,0.72727,0.46265,0.12766,0.27481,0.17433,0.18728,0.40152,0.25542
langchain-openai_20150519.txt.json,0.42105,0.69065,0.52316,0.14097,0.23188,0.17534,0.23246,0.38129,0.28883
langchain-openai_2018836.txt.json,0.42017,0.74074,0.53619,0.19831,0.35075,0.25337,0.2521,0.44444,0.32171
langchain-openai_20396475.txt.json,0.34069,0.72483,0.46352,0.14873,0.31757,0.20258,0.28076,0.59732,0.38198
langchain-openai_21768294.txt.json,0.31472,0.55357,0.40129,0.11224,0.1982,0.14332,0.16244,0.28571,0.20712
langchain-openai_22152042.txt.json,0.367,0.76761,0.49658,0.17568,0.36879,0.23799,0.26599,0.55634,0.35991
langchain-openai_22629486.txt.json,0.33088,0.60811,0.42857,0.14022,0.2585,0.18182,0.24265,0.44595,0.31429
langchain-openai_22723755.txt.json,0.30374,0.53719,0.38806,0.02817,0.05,0.03604,0.14486,0.2562,0.18508
langchain-openai_22919255.txt.json,0.42812,0.73626,0.54142,0.19231,0.33149,0.24341,0.30351,0.52198,0.38384
langchain-openai_22920823.txt.json,0.27556,0.57944,0.3735,0.06696,0.14151,0.09091,0.16,0.33645,0.21687
langchain-openai_23872561.txt.json,0.31797,0.54331,0.40116,0.12963,0.22222,0.16374,0.17512,0.29921,0.22093
langchain-openai_23934175.txt.json,0.35741,0.56627,0.43823,0.1145,0.18182,0.14051,0.25475,0.40361,0.31235
langchain-openai_24192840.txt.json,0.32143,0.60811,0.42056,0.13262,0.2517,0.17371,0.18571,0.35135,0.24299
langchain-openai_24215626.txt.json,0.41379,0.63905,0.50232,0.18462,0.28571,0.2243,0.31034,0.47929,0.37674
langchain-openai_24300108.txt.json,0.34008,0.64615,0.44562,0.13821,0.26357,0.18133,0.17004,0.32308,0.22281
langchain-openai_24482640.txt.json,0.32692,0.77982,0.4607,0.10425,0.25,0.14714,0.24615,0.58716,0.34688
langchain-openai_24532791.txt.json,0.341,0.68462,0.45525,0.15385,0.31008,0.20566,0.16475,0.33077,0.21995
langchain-openai_24552547.txt.json,0.43564,0.56051,0.49025,0.12438,0.16026,0.14006,0.22772,0.29299,0.25626
langchain-openai_24672735.txt.json,0.44218,0.46429,0.45297,0.11644,0.1223,0.1193,0.21088,0.22143,0.21603
langchain-openai_2478231.txt.json,0.3598,0.6621,0.46624,0.15423,0.2844,0.2,0.20596,0.379,0.26689
langchain-openai_25277158.txt.json,0.36161,0.58696,0.44752,0.10314,0.16788,0.12778,0.23661,0.38406,0.29282
langchain-openai_25426027.txt.json,0.30396,0.6,0.4035,0.07965,0.15789,0.10588,0.12335,0.24348,0.16374
langchain-openai_25526801.txt.json,0.35503,0.45802,0.4,0.09524,0.12308,0.10738,0.27219,0.35115,0.30667
